object_in_context,subject_geographical,subject_geographical2,subject_geographical 3,subject_geographical 4,subject_topical 4,subject_topical 5,abstract 1,abstract 2,item_type,date,title,form,rights,name,role,collection,collection_identifier,repository,genre,project_title,thumbnail,oai_identifier,identifier 1,issn
http://digital.lib.utk.edu/collections/islandora/object/kintner%3A11,Great Smoky Mountains National Park (N.C. and Tenn.)--Pictorial works., , ,,,,Ethel and I hiked up to Bunker Hill FireTower?The middle panorama is looking south east at the Smokies?,"Panorama taken looking Southeast from Bunker Hill Fire Tower, which no longer exists.",image,"November 8, 1969",Panorama from Bunker Hill Fire Tower,photographs,Images in the collection are protected by copyright. Contact smokies@utk.edu for permission to reproduce images from the collection.," 	Kintner, Elgin P.",Photographer,"Elgin P. Kintner, M.D. Smoky Mountains Collection, 1950-2011",MS.3686,"University of Tennessee, Knoxville. Special Collections","Photography, Panoramic.","The panoramic images of Elgin P. Kintner, M.D.",http://digital.lib.utk.edu/collections/islandora/object/kintner%3A11/datastream/TN/view/Panorama%20from%20Bunker%20Hill%20Fire%20Tower.jpg,kintner_11,kintner:11,2041-2042
http://digital.lib.utk.edu/collections/islandora/object/kintner%3A30,Great Smoky Mountains National Park (N.C. and Tenn.)--Pictorial works.,"LeConte, Mount (Tenn.)", ,,,,"Thermal inversion, 40 below and 55 on top, looking toward Le Conte.",,image,"December 26, 1974",Looking toward Mount Le Conte,photographs,Images in the collection are protected by copyright. Contact smokies@utk.edu for permission to reproduce images from the collection.," 	Kintner, Elgin P.",Photographer,"Elgin P. Kintner, M.D. Smoky Mountains Collection, 1950-2011",MS.3686,"University of Tennessee, Knoxville. Special Collections","Photography, Panoramic.","The panoramic images of Elgin P. Kintner, M.D.",http://digital.lib.utk.edu/collections/islandora/object/kintner%3A30/datastream/TN/view/Looking%20toward%20Mount%20Le%20Conte.jpg,kintner_30,kintner:30,6994-6995
http://digital.lib.utk.edu/collections/islandora/object/kintner%3A20,Great Smoky Mountains National Park (N.C. and Tenn.)--Pictorial works., , , , ,,view from High Rocks.,"Panorama taken looking North from High Rocks Fire Tower, which was removed in the 1980s, viewing Thunderhead of left,  with Silers Bald and The Narrows on right.",image,February 1973,View from High Rocks,photographs,Images in the collection are protected by copyright. Contact smokies@utk.edu for permission to reproduce images from the collection.," 	Kintner, Elgin P.",Photographer,"Elgin P. Kintner, M.D. Smoky Mountains Collection, 1950-2011",MS.3686,"University of Tennessee, Knoxville. Special Collections","Photography, Panoramic.","The panoramic images of Elgin P. Kintner, M.D.",http://digital.lib.utk.edu/collections/islandora/object/kintner%3A20/datastream/TN/view/View%20from%20High%20Rocks.jpg,kintner_20,kintner:20,5123-5129
http://digital.lib.utk.edu/collections/islandora/object/kintner%3A50,Great Smoky Mountains National Park (N.C. and Tenn.)--Pictorial works.,,,,,,"Unicoi Mountain Range from bald near Farr Gap / ""18 Dec 1976 hiked up Little Slickrock to Little Shuckstack and down Slickrock Creek""",Part of 5 picture panorama viewing Unicoi Mountain Range from a bald near Farr Gap.,image,1976 December 18,Unicoi Mountain Range,photographs,Images in the collection are protected by copyright. Contact smokies@utk.edu for permission to reproduce images from the collection.," 	Kintner, Elgin P.",Photographer,"Elgin P. Kintner, M.D. Smoky Mountains Collection, 1950-2011",MS.3686,"University of Tennessee, Knoxville. Special Collections","Photography, Panoramic.","The panoramic images of Elgin P. Kintner, M.D.",http://digital.lib.utk.edu/collections/islandora/object/kintner%3A50/datastream/TN/view/Unicoi%20Mountain%20Range.jpg,kintner_50,kintner:50,9303-9305
http://digital.lib.utk.edu/collections/islandora/object/kintner%3A53,Great Smoky Mountains National Park (N.C. and Tenn.)--Pictorial works., , ,,,,"The Big Pool before ascending the ridge / ""Laborday, 5 Sep 1977, on my 60th birthday we hiked up Raven Fork and Breakneck Ridge. The sun was just hitting the top along Straight Fork as we got to our trailhead.""",,image,1977 September 05,The Big Pool,photographs,Images in the collection are protected by copyright. Contact smokies@utk.edu for permission to reproduce images from the collection.," 	Kintner, Elgin P.",Photographer,"Elgin P. Kintner, M.D. Smoky Mountains Collection, 1950-2011",MS.3686,"University of Tennessee, Knoxville. Special Collections","Photography, Panoramic.","The panoramic images of Elgin P. Kintner, M.D.",http://digital.lib.utk.edu/collections/islandora/object/kintner%3A53/datastream/TN/view/The%20Big%20Pool.jpg,kintner_53,kintner:53,9991-9992
http://digital.lib.utk.edu/collections/islandora/object/kintner%3A27,Great Smoky Mountains National Park (N.C. and Tenn.)--Pictorial works., 	Fontana Lake (N.C.), , ,,,Hike to Shuckstack where there was a little frost.,"View of Lake Fontana taken looking Southeast from Shuckstack Fire Tower, which is still standing.",image,"February 23, 1974",Panorama of Lake Fontana ? Annotated,photographs,Images in the collection are protected by copyright. Contact smokies@utk.edu for permission to reproduce images from the collection.," 	Kintner, Elgin P.",Photographer,"Elgin P. Kintner, M.D. Smoky Mountains Collection, 1950-2011",MS.3686,"University of Tennessee, Knoxville. Special Collections","Photography, Panoramic.","The panoramic images of Elgin P. Kintner, M.D.",http://digital.lib.utk.edu/collections/islandora/object/kintner%3A27/datastream/TN/view/Panorama%20of%20Lake%20Fontana%20%C2%96%20Annotated.jpg,kintner_27,kintner:27,6265-6267-annotated
http://digital.lib.utk.edu/collections/islandora/object/kintner%3A37,Great Smoky Mountains National Park (N.C. and Tenn.)--Pictorial works., , , , , ,"From Richland Mtn to the east, Guyot in distance",View looking Northeast from Richland Mountains with The Sawteeth on left and Pecks Corner on right.,image,1975 July 23,View from Richland Mountain ? Annotated,photographs,Images in the collection are protected by copyright. Contact smokies@utk.edu for permission to reproduce images from the collection.," 	Kintner, Elgin P.",Photographer,"Elgin P. Kintner, M.D. Smoky Mountains Collection, 1950-2011",MS.3686,"University of Tennessee, Knoxville. Special Collections","Photography, Panoramic.","The panoramic images of Elgin P. Kintner, M.D.",http://digital.lib.utk.edu/collections/islandora/object/kintner%3A37/datastream/TN/view/View%20from%20Richland%20Mountain%20%C2%96%20Annotated.jpg,kintner_37,kintner:37,7744-7745-annotated
http://digital.lib.utk.edu/collections/islandora/object/kintner%3A51,Great Smoky Mountains National Park (N.C. and Tenn.)--Pictorial works.,,,,,,"Then as we looked to the north we saw the rest Slickrock valley and Chilhowees in distance. / ""9 Apr 1977?""",,image,1977 April 09,Silkrock Valley and Chilhowees,photographs,Images in the collection are protected by copyright. Contact smokies@utk.edu for permission to reproduce images from the collection.," 	Kintner, Elgin P.",Photographer,"Elgin P. Kintner, M.D. Smoky Mountains Collection, 1950-2011",MS.3686,"University of Tennessee, Knoxville. Special Collections","Photography, Panoramic.","The panoramic images of Elgin P. Kintner, M.D.",http://digital.lib.utk.edu/collections/islandora/object/kintner%3A51/datastream/TN/view/Silkrock%20Valley%20and%20Chilhowees.jpg,kintner_51,kintner:51,9630-9632
http://digital.lib.utk.edu/collections/islandora/object/kintner%3A28,Great Smoky Mountains National Park (N.C. and Tenn.)--Pictorial works.,Fontana Lake (N.C.), ,,,,Hike to Shuckstack where there was a little frost.,"View of Lake Fontana taken looking Southeast from Shuckstack Fire Tower, which is still standing.",image,"February 23, 1974",Panorama of Lake Fontana,photographs,Images in the collection are protected by copyright. Contact smokies@utk.edu for permission to reproduce images from the collection.," 	Kintner, Elgin P.",Photographer,"Elgin P. Kintner, M.D. Smoky Mountains Collection, 1950-2011",MS.3686,"University of Tennessee, Knoxville. Special Collections","Photography, Panoramic.","The panoramic images of Elgin P. Kintner, M.D.",http://digital.lib.utk.edu/collections/islandora/object/kintner%3A28/datastream/TN/view/Panorama%20of%20Lake%20Fontana.jpg,kintner_28,kintner:28,6265-6267
http://digital.lib.utk.edu/collections/islandora/object/kintner%3A54,Great Smoky Mountains National Park (N.C. and Tenn.)--Pictorial works.,,,,,,uncaptioned,Panorama taken from an unidentified fire tower.,image,circa 1968,Panorama taken from an unidentified fire tower,photographs,Images in the collection are protected by copyright. Contact smokies@utk.edu for permission to reproduce images from the collection.," 	Kintner, Elgin P.",Photographer,"Elgin P. Kintner, M.D. Smoky Mountains Collection, 1950-2011",MS.3686,"University of Tennessee, Knoxville. Special Collections","Photography, Panoramic.","The panoramic images of Elgin P. Kintner, M.D.",http://digital.lib.utk.edu/collections/islandora/object/kintner%3A54/datastream/TN/view/Panorama%20taken%20from%20an%20unidentified%20fire%20tower.jpg,kintner_54,kintner:54,1349-1351
http://digital.lib.utk.edu/collections/islandora/object/kintner%3A39,Great Smoky Mountains National Park (N.C. and Tenn.)--Pictorial works.,Fontana Lake (N.C.), ,,,,"From High Rocks to Fontana Lake / ""30 Jul hiked from Forney Creek back to dam.""",,image,1975 July 30,View from High Rocks to Fontana Lake,photographs,Images in the collection are protected by copyright. Contact smokies@utk.edu for permission to reproduce images from the collection.," 	Kintner, Elgin P.",Photographer,"Elgin P. Kintner, M.D. Smoky Mountains Collection, 1950-2011",MS.3686,"University of Tennessee, Knoxville. Special Collections","Photography, Panoramic.","The panoramic images of Elgin P. Kintner, M.D.",http://digital.lib.utk.edu/collections/islandora/object/kintner%3A39/datastream/TN/view/View%20from%20High%20Rocks%20to%20Fontana%20Lake.jpg,kintner_39,kintner:39,7764-7765
http://digital.lib.utk.edu/collections/islandora/object/kintner%3A21,Great Smoky Mountains National Park (N.C. and Tenn.)--Pictorial works.,, ,,,,uncaptioned,View from High Rocks,image,February 1973,View from High Rocks,photographs,Images in the collection are protected by copyright. Contact smokies@utk.edu for permission to reproduce images from the collection.," 	Kintner, Elgin P.",Photographer,"Elgin P. Kintner, M.D. Smoky Mountains Collection, 1950-2011",MS.3686,"University of Tennessee, Knoxville. Special Collections","Photography, Panoramic.","The panoramic images of Elgin P. Kintner, M.D.",http://digital.lib.utk.edu/collections/islandora/object/kintner%3A21/datastream/TN/view/View%20from%20High%20Rocks.jpg,kintner_21,kintner:21,5130-5135
http://digital.lib.utk.edu/collections/islandora/object/kintner%3A52,Great Smoky Mountains National Park (N.C. and Tenn.)--Pictorial works.,, ,,,,"On Happy Valley road near Foothill Pkw / ""14 May 1977 L Webb, R Collins, M Stevenson on trail to Stratton Bald from Joyce Kilmer""",,image,1977 May 14,Happy Valley Road near the Foothills Parkway,photographs,Images in the collection are protected by copyright. Contact smokies@utk.edu for permission to reproduce images from the collection.," 	Kintner, Elgin P.",Photographer,"Elgin P. Kintner, M.D. Smoky Mountains Collection, 1950-2011",MS.3686,"University of Tennessee, Knoxville. Special Collections","Photography, Panoramic.","The panoramic images of Elgin P. Kintner, M.D.",http://digital.lib.utk.edu/collections/islandora/object/kintner%3A52/datastream/TN/view/Happy%20Valley%20Road%20near%20the%20Foothills%20Parkway.jpg,kintner_52,kintner:52,9728-9729
http://digital.lib.utk.edu/collections/islandora/object/kintner%3A10,Great Smoky Mountains National Park (N.C. and Tenn.)--Pictorial works., , , ,,,uncaptioned,Panorama taken looking East from the Rich Mountain Fire Tower with Sugarland Mountain on left and Cold Spring Knob on right. The fire tower is no longer standing.,image,"February 5, 1969",View from Rich Mountain,photographs,Images in the collection are protected by copyright. Contact smokies@utk.edu for permission to reproduce images from the collection.," 	Kintner, Elgin P.",Photographer,"Elgin P. Kintner, M.D. Smoky Mountains Collection, 1950-2011",MS.3686,"University of Tennessee, Knoxville. Special Collections","Photography, Panoramic.","The panoramic images of Elgin P. Kintner, M.D.",http://digital.lib.utk.edu/collections/islandora/object/kintner%3A10/datastream/TN/view/View%20from%20Rich%20Mountain.jpg,kintner_10,kintner:10,1552-1553
http://digital.lib.utk.edu/collections/islandora/object/kintner%3A16,Great Smoky Mountains National Park (N.C. and Tenn.)--Pictorial works.,Townsend (Tenn.), , ,,,From Cove Mountain Looking Southwest: Round Top and Townsend.,,image,"February 20, 1972",Looking Southwest from Cove Mountain,photographs,Images in the collection are protected by copyright. Contact smokies@utk.edu for permission to reproduce images from the collection.," 	Kintner, Elgin P.",Photographer,"Elgin P. Kintner, M.D. Smoky Mountains Collection, 1950-2011",MS.3686,"University of Tennessee, Knoxville. Special Collections","Photography, Panoramic.","The panoramic images of Elgin P. Kintner, M.D.",http://digital.lib.utk.edu/collections/islandora/object/kintner%3A16/datastream/TN/view/Looking%20Southwest%20from%20Cove%20Mountain.jpg,kintner_16,kintner:16,3727-3729
